               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.025524,           0.0087246,                   0,             0.94027,             0.89314,             0.96559,             0.66999,            0.023187,           0.0071575,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.025457,           0.0088037,                   0,             0.93604,             0.90184,              0.9671,             0.67091,             0.02299,           0.0071361,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.025344,           0.0088382,                   0,             0.94031,             0.89802,             0.96709,             0.67149,            0.022994,           0.0071179,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.025694,            0.008876,                   0,             0.94328,             0.89836,             0.96859,             0.67269,            0.022958,           0.0071041,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.025622,           0.0087941,                   0,             0.95339,             0.88862,             0.96834,              0.6742,            0.022971,           0.0070892,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.02525,           0.0087451,                   0,             0.95342,             0.89059,             0.96837,             0.67793,            0.022742,           0.0070655,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.025089,           0.0087742,                   0,             0.93828,             0.90533,             0.96827,             0.67732,            0.022772,           0.0070618,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.024953,           0.0086572,                   0,             0.93044,             0.91252,             0.96885,             0.67675,            0.022743,           0.0070551,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.024977,           0.0086775,                   0,             0.94448,             0.89994,             0.96874,             0.67745,            0.022769,           0.0070562,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.024883,           0.0086467,                   0,             0.95022,             0.89349,             0.96862,             0.67984,            0.022648,           0.0070437,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.024764,           0.0085994,                   0,             0.95183,             0.89523,             0.96944,             0.68035,            0.022525,           0.0070052,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.024848,           0.0085689,                   0,              0.9356,             0.91018,             0.96965,             0.68104,             0.02249,           0.0069694,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.024578,           0.0085221,                   0,             0.94046,             0.90741,             0.96941,             0.68039,            0.022461,           0.0069575,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.024509,           0.0085585,                   0,             0.94313,             0.90184,              0.9698,             0.68177,            0.022455,           0.0069604,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.024423,           0.0083997,                   0,             0.94385,             0.90219,             0.97055,             0.68192,            0.022447,           0.0069604,                   0,            0.008317,            0.008317,            0.008317
                  53,              0.0245,             0.00856,                   0,             0.94166,             0.90449,             0.96994,             0.68348,            0.022346,             0.00694,                   0,            0.008284,            0.008284,            0.008284
